country,country_code,year,epiweek,month,age,type
Denmark,DNK,2023,24,06,6-11 months,cases
Denmark,DNK,2024,24,06,6-11 months,cases
Denmark,DNK,2016,25,06,6-11 months,cases
Denmark,DNK,2017,25,06,6-11 months,cases
Denmark,DNK,2018,25,06,6-11 months,cases
Denmark,DNK,2019,25,06,6-11 months,cases
Denmark,DNK,2020,25,06,6-11 months,cases
Denmark,DNK,2021,25,06,6-11 months,cases
Denmark,DNK,2022,25,06,6-11 months,cases
Denmark,DNK,2023,25,06,6-11 months,cases
Denmark,DNK,2024,25,06,6-11 months,cases
Denmark,DNK,2016,26,06,6-11 months,cases
Denmark,DNK,2017,26,06,6-11 months,cases
Denmark,DNK,2018,26,06,6-11 months,cases
Denmark,DNK,2019,26,06,6-11 months,cases
Denmark,DNK,2020,26,06,6-11 months,cases
Denmark,DNK,2021,26,06,6-11 months,cases
Denmark,DNK,2022,26,06,6-11 months,cases
Denmark,DNK,2023,26,06,6-11 months,cases
Denmark,DNK,2024,26,06,6-11 months,cases
Denmark,DNK,2016,27,07,6-11 months,cases
Denmark,DNK,2017,27,07,6-11 months,cases
Denmark,DNK,2018,27,07,6-11 months,cases
Denmark,DNK,2019,27,07,6-11 months,cases
Denmark,DNK,2020,27,06,6-11 months,cases
Denmark,DNK,2021,27,07,6-11 months,cases
Denmark,DNK,2022,27,07,6-11 months,cases
Denmark,DNK,2023,27,07,6-11 months,cases
Denmark,DNK,2024,27,07,6-11 months,cases
Denmark,DNK,2016,28,07,6-11 months,cases
Denmark,DNK,2017,28,07,6-11 months,cases
Denmark,DNK,2018,28,07,6-11 months,cases
Denmark,DNK,2019,28,07,6-11 months,cases
Denmark,DNK,2020,28,07,6-11 months,cases
